doc_id,section,section_ref,text
radar-airfield-weather-systems-3f1c8127d3,summary,1,"Performs full-spectrum communications-electronics maintenance. Deploys, installs, maintains, and repairs fixed or mobile air traffic control, weather, ground aircraft control and early warning radar systems, related radar operator training devices, aircraft identification equipment, remoting systems, video mappers, computerized processors, meteorological, navigation and air traffic control ground-to-air radio systems. Operates and relocates related support and communications equipment, uses test equipment, analyzes performance trends, performs administrative cybersecurity and elevated-privilege tasks such as software updates, networking, and privilege management, and supervises maintenance activities. RAWS may be required to maintain entire facilities, subsystems, or individual services or equipment that assist in the safe and expedient movement of air traffic throughout the National Airspace System (NAS) as well as providing support to the National Weather Service (NWS) and other outside supported agencies. Related DoD Occupational Subgroups: 110000, 110100, 110200, 110300, and 110400."
warfighter-communications-00691aa8a4,summary,1,"The Warfighter Communications Career Field manages, secures, configures, operates, extends, maintains and sustains the technological capabilities used to collect, process, store, disseminate and manage information on-demand for warfighters, policy makers, and support personnel. These responsibilities extend to interconnected and stand-alone systems in all environments to preserve the confidentiality, availability and integrity of the Department of Defense Information Network (DoDIN) (DoDI 8410.02).
Warfighter Communications implements governance and investment strategies to drive sustainability and reliability for the warfighter coupled with the cybersecurity posture needed to face competition in the global environment. Warfighter Communications integrate with the Cyber Warfare Operations (1B) community to secure, operate and defend the DoDIN consistent with DoD policy, strategic guidance, and higher headquarters direction. Warfighter Communications personnel are organized, trained, equipped and resourced to execute DoDIN operations providing cybersecurity and Information Technology capabilities enabling Air and Space Force core missions. DCWF work roles associated with this specialty will be list in the Career Field Education and Training Plan (CFETP)."
information-technology-it-systems-1114e89745,summary,1,"IT Systems personnel can perform three primary work roles: Technical Support Specialist, Systems Administrator, and Network Operations Specialist. IT systems technicians qualified as Technical Support Specialist manage and maintain client devices and accounts as well as routine tasks on network devices and infrastructure to troubleshoot and resolve network connectivity issues. At the intermediate and advanced proficiency levels, Systems Administrators manage and maintain server operating systems and software applications. Network Operations Specialist install, support, and maintain network infrastructure devices and systems. Each role requires a unique set of skills and competencies, and IT systems personnel may specialize in one or more of these work roles depending on their expertise, interests, and the position requirements. IT systems manage and perform Warfighter Communications in all environments in support of the overall requirements to survey, secure, protect, defend, preserve, design, build, operate, and extend data, networks, net-centric capabilities, and other designated systems.
1.1 This Air Force Specialty Code incorporates the use of DCWF codes to tie this specialty to the framework. The DCWF was developed by the National Institute of Standards and Technology (NIST) and the DoD to establish a common lexicon and model for all cyber work. The DCWF will universalize training and education between academia, industry, and military. It will also enable talent management by ensuring the right Airmen, for the right assignment, at the right time. DCWF work roles associated with this specialty will be list in the Career Field Education and Training Plan (CFETP)."
radio-frequency-transmissions-and-electromagnetic-activities-5e0928c6f4,summary,1,"Radio Frequency (RF) Transmissions and Electromagnetic Activities (EMA) involve the use of electromagnetic energy to support a wide range of military and civilian operations. An RF Technician is responsible for installing, integrating, maintaining, and repairing RF communication equipment. They work with a variety of RF systems, including radio, and cellular communication networks, and specialize in propagation techniques such as Line of Sight, HF, SATCOM, and Troposcatter in both fixed and tactical environments. Spectrum Operations personnel are responsible for managing and coordinating the use of the electromagnetic spectrum in a particular geographic area. They analyze requirements and requests for frequencies, and work to ensure that different systems and devices can operate without interfering with each other. This may involve coordinating with other spectrum users, such as government agencies or commercial entities, and making recommendations for the allocation of frequencies. Spectrum Operations Technicians must have a deep understanding of wireless communications systems and the principles of electromagnetism, as well as knowledge of relevant regulations and standards. They may also be involved in the development of new spectrum-dependent technologies and applications. Together, RF and EMA technicians play a critical role in ensuring the effective and secure use of the electromagnetic spectrum in a variety of contexts. DCWF work roles associated with this specialty will be list in the Career Field Education and Training Plan (CFETP)."
cable-and-antenna-66299076fb,summary,1,"Provides command and control (C2) capabilities through installation, maintenance, fault isolation, and reconstitution of fixed cable and wireless distribution systems, local area networks (LAN), and wide area networks (WAN) in support of tactical and strategic operations. Monitors and analyzes performance of underground, buried, and aerial cable and antenna networks.
Supports Warfighter Communications and IT and cyber functions (DoDIN operations) in accordance with related DoD Occupational Subgroup: 162100. Surveys, secures, protects, defends, preserves, designs, builds, operates, and extends data, networks, net-centric capabilities, and other designated systems. This Air Force Specialty Code description incorporates the use of DoD Cyber Workforce Framework (DCWF) Codes to tie this specialty description to the framework. DCWF work roles associated with this specialty will be list in the Career Field Education and Training Plan (CFETP)."
data-engineering-e6e77ec5f3,summary,1,"Data engineering provides data operations and software development in support of mission requirements. The data operations role involves designing, developing, and modifying AI applications, tools, and/or other solutions to enable successful accomplishment of mission objectives. This role also involves building, managing, and operationalizing data pipelines. The software engineering role encompasses a wide range of responsibilities, including supervising and performing as a software analyst, coder, tester, and manager in the design, development, maintenance, testing, configuration management, and documentation of application software systems, client-server, and web-enabled software and relational database systems critical to warfighting capabilities. DCWF work roles associated with this specialty will be list in the Career Field Education and Training Plan (CFETP)."
cybersecurity-5688071d7a,summary,1,": Cybersecurity secures, defends, and preserves data, network, net-centric capabilities, and other designated systems by ensuring appropriate security controls and measures are in place, and taking internal security actions to protect DoDIN systems to execute DAF operations. Performs risk management framework security determinations of fixed, deployed, and mobile information systems (IS) and telecommunications resources to monitor, evaluate, and maintain systems, policy, and procedures to protect clients, networks, data/voice systems, and databases from unauthorized activity. Identifies potential threats and manages resolution of communications security incidents. Enforces national, DoD and Air Force security policies and directives to ensure Confidentiality, Integrity, and Availability (CIA) of Information Systems (IS) resources. Operations include identifying, locating, and validating vulnerability mitigation to prevent the compromise of the communications, information, electromagnetic environment, or industrials systems through protective measures. Oversees and governs the overall cybersecurity program to include Information Security (INFOSEC), TEMPEST, Communications Security (COMSEC), Emissions Security (EMSEC), and Computer Security (COMPUSEC) programs. This includes access to system controls, monitoring, administration, and integration of cybersecurity into all aspects of engineering and acquisition of cyberspace capabilities. DCWF work roles associated with this specialty will be list in the Career Field Education and Training Plan (CFETP).
2. Duty and Responsibilities:
2.1. Conducts cybersecurity risk management framework assessments; ensures enterprise cybersecurity policies fully support all legal and regulatory requirements and ensures cybersecurity policies are applied in new and existing IS resources. Identifies cybersecurity weaknesses and provides recommendations for improvement. Monitors enterprise cybersecurity policy compliance and provides recommendations for effective implementation of IS security controls. Defends, protects, and secures mission networking environments and devices. Provides networked application resources by designing, configuring, installing, and managing data services, operating system, and server applications.
2.2. Evaluates and assists IS risk management activities. Makes periodic evaluation and assistance visits, notes discrepancies, and recommends corrective actions. Audits and enforces the compliance of cybersecurity procedures and investigates security-related incidents to include COMSEC incidents, classified message incidents, classified file incidents, classified data spillage, unauthorized device connections, and unauthorized network access. Develops and manages the cybersecurity program and monitors emerging security technologies and industry best practices while providing guidance to unit-level Information Assurance (IA) Officers. Employ countermeasures designed for the protection of confidentiality, integrity, availability, authentication, and non-repudiation of government information processed by AF IS's.
2.3. Responsible for cybersecurity risk management of national security systems during all phases of the IS life cycle through remanence security.
2.4. Integrates risk management framework tools with other IS functions to protect and defend IS resources. Advises cyber systems operations personnel and system administrators on known vulnerabilities and assists in developing mitigation and remediation strategies.
Provides CIA by verifying cybersecurity controls are implemented in accordance with DoD and Air Force standards. Ensures appropriate administrative, physical, and technical safeguards are incorporated into all new and existing IS resources and protects IS resources from malicious activity.
2.5. Performs COMSEC management duties in accordance with national and DoD directives. Maintains accounting for all required physical and electronic cryptographic material. Issues cryptographic material to units COMSEC Responsible Officer (CRO). Provides guidance and training to appointed primary/alternate CRO. Conducts inspections to ensure COMSEC material is properly maintained and investigates and reports all COMSEC related incidents.
2.6. Performs TEMPEST duties in accordance with national and DoD TEMPEST standards. Denies unauthorized access to classified, and in some instances, unclassified information via compromising emanations within a controlled space through effective countermeasure application. Ensures all systems and devices comply with national and DoD EMSEC standards. Inspects classified work areas, provides guidelines and training, maintains area certifications, determines countermeasures; advises commanders on vulnerabilities, threats, and risks; and recommends practical courses of action.
2.7. Responsible for oversight or management of installation cybersecurity awareness programs. Promotes cybersecurity awareness through periodic training, visual aids, newsletters, or other dissemination methods in accordance with organizational requirements.
2.8. As part of the Warfighter Communications career field, performs IT project management duties to include managing, supervising, and performing planning and implementation activities. Manages implementation and project installation and ensures architecture, configuration, and integration conformity. Develops, plans, and integrates base communications systems. Serves as advisor at meetings for facility design, military construction programs, and minor construction planning. Evaluates base comprehensive plan and civil engineering projects. Monitors the status of cyber or communications-related base civil engineer work requests. Performs mission review with customers. Controls, manages, and monitors project milestones and funding from inception to completion. Determines adequacy and 71 DAFECD, 30 Apr 25 correctness of project packages and amendments. Monitors project status and completion actions. Manages and maintains system installation records, files, and indexes. Evaluates contracts, wartime, support, contingency and exercise plans to determine impact on manpower, equipment, and systems."
aerospace-physiology-51ac164fe2,summary,1,"Manages physiological functions and activities. Performs in-flight duties as a Non-Career Enlisted Aviator (non-CEA). Performs aircrew functions and other mission specific qualification in-flight duties to include the airdrop of personnel and equipment/cargo. Operates and monitors aircrew breathing and personnel oxygen systems. Develops a thorough understanding of Human Factors principles and fundamentals, analytic methods and techniques, performance processes, system design, sensation and perception, and cognitive psychology. Operates and maintains aerospace physiology training devices included but not limited to altitude chambers, spatial disorientation trainers, reduced oxygen breathing devices (ROBD), centrifuge, unaided night vision trainers, Hypoxia Familiarization Trainers, and Parachute Operations Hypoxia Familiarization Trainers. Instructs and observes personnel for physiological symptoms on simulated flights to altitude. Instructs in a classroom and manages Aerospace Physiology assets. Trains aviators and parachutists in subjects related to physiology, to human factors, and aviation safety. Other areas of responsibility include personal parachute program participation, Aerospace Physiology team training, High Altitude Intelligence Reconnaissance and Surveillance (HAISR) support program, and fighter aircrew acceleration Training. The hazards of high altitude and the dynamic mission and training environment demand a high degree of attention, focus, professionalism, knowledge, skill, discipline, coordination, and stress management to carry out related duties successfully and safely. Related DoD Occupational Subgroup: 132400."
intelligence-dc84aad9e4,summary,1,"Leads and supervises functions and activities associated with the collection, processing, exploitation, analysis, dissemination, and production of all-source intelligence. Related DoD Occupational Subgroups: 123100, 123200, 123300, 124100, 124200, 124300 and 155600."
all-source-intelligence-analyst-c728656a40,summary,1,"Performs/manages intelligence activities/functions including discovering, developing, evaluating, and providing intelligence information. Related DoD Occupational Subgroup: 124300."
intelligence-superintendent-db0a07c697,summary,1,"Supervises and directs intelligence activities associated with the collection, analysis, production, and dissemination of intelligence. Related DoD Occupational Subgroups: 124100, 124200, and 124300."
geospatial-intelligence-39dedb51c8,summary,1,"Manages, supervises, and performs intelligence activities and functions including, exploitation, development, and dissemination of multi-sensor Geospatial Intelligence to support warfighting operations and other intelligence activities that achieve the commander’s objectives. Related DoD Occupational Subgroup: 124200."
cryptologic-intelligence-superintendent-d588b74537,summary,1,"Supervises and directs Cryptologic and Computer Network Operations (CNO) Intelligence activities. Related DoD Occupational Subgroup: 123000, 12300, 123200, 124300."
signals-intelligence-ae6e8b763c,summary,1,"Acquires, processes, identifies, analyzes, and reports on electromagnetic emissions. Operates electronic equipment and computer systems to exploit signals intelligence production efforts. Related DOD Occupational Subgroup: 123100."
cryptologic-language-analyst-1308ecb2ad,summary,1,"Employs foreign language skills to collect, transcribe, translate, analyze, and report intelligence information.
Related DoD Occupational Subgroup: 123200."
cyber-intelligence-152bf55c18,summary,1,": Responsible for discovering and analyzing computer network data, recognizing and assessing usable intelligence from a variety of sources, and influencing offensive and defensive cyber operations. Conducts research and analysis on potential cyber targets, including foreign nations, terrorist groups, and other entities that pose a threat to the United States. Develops offensive cyber operations to deny, degrade, disrupt, or destroy enemy networks and systems, including identifying vulnerabilities and developing exploit strategies. Ensures that all offensive cyber operations are conducted in accordance with applicable laws, regulations, and military rules of engagement. Conducts penetration testing and vulnerability assessments to identify potential weaknesses in Air Force networks and information or weapons systems. Cyber Intelligence Analysts assist and advise leaders across the Air Force, United States Cyber Command, the National Security Agency, and other partners within the Intelligence Community to plan, initiate, guide, and execute cyber operations. Related DoD Occupational Subgroups: 123200 and 124300."
cryptologic-analyst-reporter-5e114e22f7,summary,1,": Performs and manages cryptologic intelligence analysis activities and functions in all domains. Analyzes and exploits intelligence information, develops targets, and provides situational awareness for operations personnel and key leadership.
Conducts research and develops assessments of adversarial actions and intentions. Drafts and disseminates long-term and time-sensitive intelligence reports to consumers worldwide. Related DoD Occupational Subgroups: 123200 and 124300."
human-intelligence-specialist-c9d4b34722,summary,1,Retrain-In Only. Must be (S)Sgt or above to apply; SrA may be accepted on a case-by-case basis with approval from the 1N/9S ISR Career Field Manager (CFM). Collects and reports information obtained from human sources in response to intelligence requirements. Screens documents and open-source materials to identify potential source leads. Assesses and debriefs sources in English. Provides oversight of and supervises interviews or debriefings conducted in foreign languages. Performs controlled operations officer duties. Related DoD Occupational Subgroup: 124100.
targeting-analyst-e2374f1654,summary,1,"Manages, supervises, and performs targeting intelligence activities and functions including analyzing targets. In addition, develops targeting solutions and evaluates effects in support of planning and execution of an effects based approach to operations that achieves the commander’s objectives. Related DoD Occupational Subgroup: 124200."
aircrew-flight-equipment-e0d9adbb3b,summary,1,"Directly supports aircraft generation, sortie production, and enables aircrew and special warfare operator performance through aircrew flight equipment and life-sustaining assets. Manages, performs, and schedules inspections, maintenance, fitting, and adjustments of assigned Aircrew Flight Equipment (AFE), Aircrew Chemical Biological Radiological Nuclear (ACBRN) equipment and associated components. Prepares, maintains, and monitors AFE operations IAW with applicable publications and directives. Prepares for response to chemical, biological, radiological, and nuclear weapons contamination and supervises and conducts Aircrew Contamination Control Area (ACCA) processing. Disassembles, assembles, inspects, fabricates, cleans, repairs, and packs aerospace weapon system and Air Force Special Warfare (AFSPECWAR) components such as floatation equipment, emergency evacuation systems, and parachutes. Schedules, supervises, and conducts ACBRN and aircrew continuation Training. Related DoD Occupational Subgroup: 186000."
safety-career-field-1d56c78216,summary,1,"Manages and conducts safety programs. Plans, organizes, directs, and controls safety activities. Analyzes mishap causes and trends and assesses risk. Evaluates, inspects, and surveys areas and activities to eliminate mishap potentials. Conducts mishap investigations. Provides risk management consultation. Conducts safety Education. Related DoD Occupational Subgroup: 149300."
survival-evasion-resistance-escape-sere-specialist-6c8d041f65,summary,1,": Plans, performs, supervises, and leads Survival, Evasion, Resistance, Escape (SERE) functions of preparation and execution to allow for mission planning, personnel recovery (PR) mission execution and application of airpower across the full spectrum of military operations in all geographic and environmental conditions. May be employed alone or part of an Air Force, joint, interagency or coalition force in support of Combatant Commander’s PR and access objectives. Prepares high risk of isolation personnel for SERE across the full range of military operations. Conducts preparation of the environment activities as part of a supporting or supported force to survey areas for evasion, recovery corridors, contact sites, cache site establishment, areas of interest and physical infrastructure. Provides positive control of recovery/contact sites and caches. Synchronizes joint, interagency, intergovernmental, and multinational (JIIM) efforts for full spectrum PR. Assesses and develops Partner Nation recovery capabilities through foreign internal defense (FID) security force assistance (SFA) and Building Partnership Capacity (BPC). Operates in the eight geographic disciplines of Arctic, Coastal, Desert, Jungle, Mountain, Urban, Water and Captivity, day, or night, to include friendly, denied, hostile, or sensitive areas.
Related DoD Occupational Subgroup: 101200."
remotely-piloted-aircraft-rpa-pilot-d9908974ff,summary,1,"Operates specialized mission aircraft and commands flight crews to accomplish reconnaissance, surveillance, and other missions. Operates mission equipment, systems, and electronic protection (EP) equipment. Pilots conduct operations and procedures IAW Special Instructions (SPINS), Air Tasking Orders (ATO) and Rules of Engagement (ROE). Pilots continually monitor aircraft and weapons systems status to ensure lethal and non-lethal application of airpower. Related DoD Occupational Group: 220100."
weather-70c89b5f1b,summary,1,"Performs and manages the collection, analysis, and forecast of atmospheric weather and space environmental conditions to enable decision superiority and application of land, air, space, and cyberspace power across the full spectrum of military operations. Related DoD Occupational Subgroup: 142000."
pararescue-323d661b1f,summary,1,"Performs, plans, leads, supervises, instructs, and evaluates Pararescue activities. Performs as the essential surface-to-air link in Personnel Recovery (PR) and materiel recovery by functioning as the technical rescue and recovery specialist on surface elements or as mission crew on flying status. Provides rapid response capability, special operations mission execution, and application of airpower across the full spectrum of military operations in all geographic and environmental conditions. May be employed alone or as part of an Air Force, joint, interagency, or coalition force in support of Combatant Commander’s objectives. Capable of rapid deployment during day or night, to any environment, including permissive, hostile, denied, or politically and/or diplomatically sensitive locales. Operates in the six geographic disciplines: mountain, desert, arctic, urban, jungle and water. May operate under austere conditions for extended periods. Provides technical rescue, emergency medical care, and security. Moves recovered personnel and materiel to safety or friendly control when recovery by aircraft is not possible. Related DoD Occupational Subgroup: 105000."
combat-control-f6728fb2c6,summary,1,"Provides command, control, communications, intelligence, surveillance, and reconnaissance (C3ISR) to assist, control and enable the application of manned and unmanned, lethal, and non-lethal airpower in all geographic and environmental conditions across the full spectrum of military operations. Includes terminal control (air traffic control [ATC]) and targeting, and control of air strikes (including joint terminal attack control [JTAC]) (ground, air, and space deconfliction) and use of visual and electronic aids to control airheads and enable precision navigation. Provides long-range voice and data command and control and communications.
Performs tactical level surveillance and reconnaissance functions, fusing organic and remote-controlled technologies and manned platforms to build the common operating picture (COP). Related DoD Occupational Subgroup: 125000."
tactical-air-control-party-a1a5d2972d,summary,1,"TACP Airmen are the Air Force’s lead surface based strike, integration, and contested command and control experts. TACP Airmen identify, track, target, and engage enemy forces in close proximity to friendly forces utilizing precision strike assets. Plans, coordinates, and directs manned and unmanned, lethal, and non-lethal air power utilizing advanced command, control communications (C3) technologies and weapon systems in direct ground combat. Inherently qualified as a Joint Terminal Attack Controller (JTAC) and is a Joint Fires integration expert on the battlefield. Controls and executes air, space, and cyber power across the full spectrum of military operations. Provides airspace deconfliction, artillery, naval gunfire, intelligence, surveillance, and reconnaissance (ISR) and terminal control of precision strike assets to shape the battlefield. Operates in austere combat environments independent of an established airbase or its perimeter defenses. Employed as part of a joint, interagency or coalition force, aligned with conventional or special operations combat maneuver units to support Combatant Commander Objectives. TACP Airmen are often assigned to U.S. Army Installations. Member of Special Warfare Airman grouping. IAW AFPD 10-35, Special Warfare Airmen. Related DoD Occupational Subgroup: 125000."
