id,doc_id,ref,sent_index,text,metadata_json
mobility-force-aviator-27bd37197c:2.2:10:e6accaf7,mobility-force-aviator-27bd37197c,2.2,10.0,"[MOBILITY FORCE AVIATOR | Duty 2.2 | Skills: 1,3,5] Checks cargo/passenger loads against manifests.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.2"", ""sent_index"": 10, ""skill_digits"": [""1"", ""3"", ""5""], ""skill_labels"": [""helper"", ""apprentice"", ""journeyman""], ""canonical_duty_id"": ""a68f094ef3a30a9de2949409f1979591dbd0de3b"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.2:11:606172b4,mobility-force-aviator-27bd37197c,2.2,11.0,"[MOBILITY FORCE AVIATOR | Duty 2.2 | Skills: 3,5,7,9] Determines and verifies passenger, cargo, fuel, and emergency and special equipment distribution and weight.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.2"", ""sent_index"": 11, ""skill_digits"": [""3"", ""5"", ""7"", ""9""], ""skill_labels"": [""apprentice"", ""journeyman"", ""craftsman"", ""superintendent""], ""canonical_duty_id"": ""488a4cb0aba4608f0e0e2414040470ebb1fd891f"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.2:12:ece480d0,mobility-force-aviator-27bd37197c,2.2,12.0,"[MOBILITY FORCE AVIATOR | Duty 2.2 | Skills: 3,5,7,9] Computes and applies aircraft weight and balance.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.2"", ""sent_index"": 12, ""skill_digits"": [""3"", ""5"", ""7"", ""9""], ""skill_labels"": [""apprentice"", ""journeyman"", ""craftsman"", ""superintendent""], ""canonical_duty_id"": ""23619168619decca57a87dd24e2e83edaa86dcd7"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.3:13:66e0d888,mobility-force-aviator-27bd37197c,2.3,13.0,"[MOBILITY FORCE AVIATOR | Duty 2.3 | Skills: 3,5,7,9] Computes takeoff, climb, cruise, and landing data.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.3"", ""sent_index"": 13, ""skill_digits"": [""3"", ""5"", ""7"", ""9""], ""skill_labels"": [""apprentice"", ""journeyman"", ""craftsman"", ""superintendent""], ""canonical_duty_id"": ""520cdb48e4856600d613d0213751de31ecf81c97"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.3:14:d6107eb5,mobility-force-aviator-27bd37197c,2.3,14.0,"[MOBILITY FORCE AVIATOR | Duty 2.3 | Skills: 3,5,7,9] Determines engine fuel consumption using airspeed, atmospheric data, charts, computer, or electronic calculator.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.3"", ""sent_index"": 14, ""skill_digits"": [""3"", ""5"", ""7"", ""9""], ""skill_labels"": [""apprentice"", ""journeyman"", ""craftsman"", ""superintendent""], ""canonical_duty_id"": ""54a4d7978de5dbdeb52f9a97ee0898a5fc9810fb"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.3:15:d3a69213,mobility-force-aviator-27bd37197c,2.3,15.0,"[MOBILITY FORCE AVIATOR | Duty 2.3 | Skills: 1,3,5] Records actual aircraft performance data in flight engineer's log.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.3"", ""sent_index"": 15, ""skill_digits"": [""1"", ""3"", ""5""], ""skill_labels"": [""helper"", ""apprentice"", ""journeyman""], ""canonical_duty_id"": ""7225d9d3dffbf636303dd592bd06b71e045f332b"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.4:16:99170051,mobility-force-aviator-27bd37197c,2.4,16.0,"[MOBILITY FORCE AVIATOR | Duty 2.4 | Skills: 1,3,5,7] Operates and monitors engine and aircraft systems controls and indicators according to flight manual procedures.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.4"", ""sent_index"": 16, ""skill_digits"": [""1"", ""3"", ""5"", ""7""], ""skill_labels"": [""helper"", ""apprentice"", ""journeyman"", ""craftsman""], ""canonical_duty_id"": ""4460bd609701e91b56a55a610b8521f898c24f16"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.4:17:d1c51e9b,mobility-force-aviator-27bd37197c,2.4,17.0,"[MOBILITY FORCE AVIATOR | Duty 2.4 | Skills: 1,3,5,7] Assists pilot or performs engine starts, and monitors run-up, flight operations, and engine shutdown.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.4"", ""sent_index"": 17, ""skill_digits"": [""1"", ""3"", ""5"", ""7""], ""skill_labels"": [""helper"", ""apprentice"", ""journeyman"", ""craftsman""], ""canonical_duty_id"": ""45d2fba2b0bcb79afeafddc277beb8098354b0bf"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.4:18:8b77094d,mobility-force-aviator-27bd37197c,2.4,18.0,"[MOBILITY FORCE AVIATOR | Duty 2.4 | Skills: 1,3,5] Operates engine controls to provide desired efficiency and economy.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.4"", ""sent_index"": 18, ""skill_digits"": [""1"", ""3"", ""5""], ""skill_labels"": [""helper"", ""apprentice"", ""journeyman""], ""canonical_duty_id"": ""171b1c1b23e038a91c21c4c625bfeab5ce5fb347"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.4:19:535008e4,mobility-force-aviator-27bd37197c,2.4,19.0,"[MOBILITY FORCE AVIATOR | Duty 2.4 | Skills: 3,5,7] Monitors engine instruments throughout period of operation.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.4"", ""sent_index"": 19, ""skill_digits"": [""3"", ""5"", ""7""], ""skill_labels"": [""apprentice"", ""journeyman"", ""craftsman""], ""canonical_duty_id"": ""f030aa7808b5f5b1cccaa61c48fa47c220bf9d3b"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.4:20:ec4b6e2b,mobility-force-aviator-27bd37197c,2.4,20.0,"[MOBILITY FORCE AVIATOR | Duty 2.4 | Skills: 3,5,7] Controls, monitors, and regulates aircraft systems such as electric, communication, navigation, hydraulic, pneumatic, fuel, air conditioning, and pressurization; ventilation; auxiliary power unit; and lubrication systems.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.4"", ""sent_index"": 20, ""skill_digits"": [""3"", ""5"", ""7""], ""skill_labels"": [""apprentice"", ""journeyman"", ""craftsman""], ""canonical_duty_id"": ""d4d1d2376babd331f4fc2a9449f02319db547def"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.4:21:bea6ce37,mobility-force-aviator-27bd37197c,2.4,21.0,"[MOBILITY FORCE AVIATOR | Duty 2.4 | Skills: 1,3,5] Observes warning indicators and light for fire, overheat, depressurization, and system failure.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.4"", ""sent_index"": 21, ""skill_digits"": [""1"", ""3"", ""5""], ""skill_labels"": [""helper"", ""apprentice"", ""journeyman""], ""canonical_duty_id"": ""a1724ce7cee4a5343e160601930e367997cf37ae"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.4:22:f02f76c4,mobility-force-aviator-27bd37197c,2.4,22.0,"[MOBILITY FORCE AVIATOR | Duty 2.4 | Skills: 1,3,5] Reports abnormal conditions to pilot and recommends corrective action.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.4"", ""sent_index"": 22, ""skill_digits"": [""1"", ""3"", ""5""], ""skill_labels"": [""helper"", ""apprentice"", ""journeyman""], ""canonical_duty_id"": ""629acb3ae22699d499f9d883b5e984b791d81e03"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.4:23:a4e19b46,mobility-force-aviator-27bd37197c,2.4,23.0,"[MOBILITY FORCE AVIATOR | Duty 2.4 | Skills: 3,5,7] Monitors provides passenger comfort.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.4"", ""sent_index"": 23, ""skill_digits"": [""3"", ""5"", ""7""], ""skill_labels"": [""apprentice"", ""journeyman"", ""craftsman""], ""canonical_duty_id"": ""149be392e45962320171447307349ef0643cbfad"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.4:24:51f995f2,mobility-force-aviator-27bd37197c,2.4,24.0,"[MOBILITY FORCE AVIATOR | Duty 2.4 | Skills: 1,3,5] Prepares and dispenses passenger meals, snacks, and refreshments.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.4"", ""sent_index"": 24, ""skill_digits"": [""1"", ""3"", ""5""], ""skill_labels"": [""helper"", ""apprentice"", ""journeyman""], ""canonical_duty_id"": ""43d1630eba1818d04218980a42b2f364962b85a9"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.4:25:41105e6d,mobility-force-aviator-27bd37197c,2.4,25.0,"[MOBILITY FORCE AVIATOR | Duty 2.4 | Skills: 1,3,5] Completes required aircraft forms documentation and border clearance requirements.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.4"", ""sent_index"": 25, ""skill_digits"": [""1"", ""3"", ""5""], ""skill_labels"": [""helper"", ""apprentice"", ""journeyman""], ""canonical_duty_id"": ""833d4c1247e6e0239cfb449f5f09ff5548c7d043"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.4:26:985e8325,mobility-force-aviator-27bd37197c,2.4,26.0,"[MOBILITY FORCE AVIATOR | Duty 2.4 | Skills: 3,5,7] Visually monitors aircraft clearances (interior and exterior), identifies proximal threats to the aircraft and initiates corrective actions (aircraft scanning).","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.4"", ""sent_index"": 26, ""skill_digits"": [""3"", ""5"", ""7""], ""skill_labels"": [""apprentice"", ""journeyman"", ""craftsman""], ""canonical_duty_id"": ""2acd03f89dcfda5655d510c79ffb38adb2a348b3"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.5:27:579897f5,mobility-force-aviator-27bd37197c,2.5,27.0,"[MOBILITY FORCE AVIATOR | Duty 2.5 | Skills: 1,3,5] Performs in-flight refueling aircrew duties.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.5"", ""sent_index"": 27, ""skill_digits"": [""1"", ""3"", ""5""], ""skill_labels"": [""helper"", ""apprentice"", ""journeyman""], ""canonical_duty_id"": ""8e5241596d07a399bcc41e2778a8b1a8457d63e3"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.5:28:edfd32c9,mobility-force-aviator-27bd37197c,2.5,28.0,"[MOBILITY FORCE AVIATOR | Duty 2.5 | Skills: 1,3,5] Checks forms for equipment status.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.5"", ""sent_index"": 28, ""skill_digits"": [""1"", ""3"", ""5""], ""skill_labels"": [""helper"", ""apprentice"", ""journeyman""], ""canonical_duty_id"": ""67ca14516fae3e8e955d5c114f1dbc1c93dac078"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.5:29:a1295be3,mobility-force-aviator-27bd37197c,2.5,29.0,"[MOBILITY FORCE AVIATOR | Duty 2.5 | Skills: 1,3,5] Performs visual and operational check of air refueling and associated systems and equipment.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.5"", ""sent_index"": 29, ""skill_digits"": [""1"", ""3"", ""5""], ""skill_labels"": [""helper"", ""apprentice"", ""journeyman""], ""canonical_duty_id"": ""f13f21919d8b26572d6b2a38eafff6536d858bcc"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.5:30:4a87898c,mobility-force-aviator-27bd37197c,2.5,30.0,"[MOBILITY FORCE AVIATOR | Duty 2.5 | Skills: 1,3,5] Performs in-flight operational check of air refueling systems.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.5"", ""sent_index"": 30, ""skill_digits"": [""1"", ""3"", ""5""], ""skill_labels"": [""helper"", ""apprentice"", ""journeyman""], ""canonical_duty_id"": ""63c10561b8259f57a10cc6e0edbfb0a59bcfd22a"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.5:31:5ee05987,mobility-force-aviator-27bd37197c,2.5,31.0,"[MOBILITY FORCE AVIATOR | Duty 2.5 | Skills: 7,9] Directs receiver aircraft into air refueling position.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.5"", ""sent_index"": 31, ""skill_digits"": [""7"", ""9""], ""skill_labels"": [""craftsman"", ""superintendent""], ""canonical_duty_id"": ""2a3e38b43608784a034d8944d3fb108505be5028"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.5:32:e9506a86,mobility-force-aviator-27bd37197c,2.5,32.0,"[MOBILITY FORCE AVIATOR | Duty 2.5 | Skills: 1,3,5] Operates in-flight air refueling controls and switches to safely affect contact between tanker and receiver aircraft.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.5"", ""sent_index"": 32, ""skill_digits"": [""1"", ""3"", ""5""], ""skill_labels"": [""helper"", ""apprentice"", ""journeyman""], ""canonical_duty_id"": ""6f74c2f274d0c63d118e74eae89170332068195f"", ""source_type"": ""duty""}"
mobility-force-aviator-27bd37197c:2.5:33:2f38ba54,mobility-force-aviator-27bd37197c,2.5,33.0,"[MOBILITY FORCE AVIATOR | Duty 2.5 | Skills: 3,5,7,9] Monitors control panel for proper operation of equipment during air refueling and advises receiver pilot of actions required to safely maintain position within the air-refueling envelope.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""cem_code"": ""1A100*"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A113"", ""1A133*"", ""1A153*"", ""1A173*"", ""1A193*""], ""afsc_families"": [""1A1""], ""ref"": ""2.5"", ""sent_index"": 33, ""skill_digits"": [""3"", ""5"", ""7"", ""9""], ""skill_labels"": [""apprentice"", ""journeyman"", ""craftsman"", ""superintendent""], ""canonical_duty_id"": ""f0c55ce09ec1dbdbf315e7f92c36b3babf2a61f4"", ""source_type"": ""duty""}"
